post_id,registrationNumber,body
5bc0bd91a5b16a0001ef515e,00086,"Hello les Advyteamiens,
Fêtons ensemble, ce Lundi 15 octobre, la 55ème fête nationale de l'évacuation célébrée dans toute la Tunisie 🙂
PS: Nous vous rappelons que le Lundi 15/10 sera un jour de travail au sein d'Advyteam (férié chômé non payé),pour plus de détails consultez la rubrique ""Tout Savoir "" 😉"
5bc0c050a5b16a0001ef515f,00086,#Quiz# Quelles sont les langues officielles du Comité International Olympique ?
5bc0fe4ca5b16a0001ef5171,00039,Mabrouk fréro ! Que du bonneur !
5bc0fec1a5b16a0001ef5172,nan,
5bc0fec1a5b16a0001ef5173,nan,
5bc0fec1a5b16a0001ef5174,nan,
5bc0fec1a5b16a0001ef5175,nan,
5bc0fec1a5b16a0001ef5176,nan,
5bc0fec1a5b16a0001ef5177,nan,
5bc0fec1a5b16a0001ef5178,nan,
5bc0fec1a5b16a0001ef5179,00007,"Un peu de nostalgie pour ceux qui étaient avec nous depuis le début de l'aventure
D'autres photos de Akram en mode chan3a mezoued disponibles à la demande.
Une question : que contient le sceau tenu par TM7 et ARC7 .. lol
#advyteam#event#djerba#2013"
5bc11593a5b16a0001ef517c,nan,
5bc11593a5b16a0001ef517d,00037,
5bc115d8a5b16a0001ef517e,00037,les 3 mousqueteuuuzz !
5bc115e9a5b16a0001ef517f,00072,HAPPY Family ! 🍾🍾🍾 Congrat Samy
5bc11695a5b16a0001ef5180,00037,العاقبة ليونس!
5bc11ac1a5b16a0001ef5183,00018,Mabrouk Samy 😀
5bc1345aa5b16a0001ef518b,00037,مروان و فارس بن عمار 
5bc13b11a5b16a0001ef518c,00079,Les plus beaux sont déjà pris 
5bc142eaa5b16a0001ef518d,00079,Médaille finisher
5bc143e4a5b16a0001ef518e,00048,dedicasse from Seddik To Zamen!!!
5bc43a92a5b16a0001ef51a4,00039,Joyeux anniversaire à notre chère Nouha ainsi qu'à Meriem el Abed qui a fêté son anniversaire le samedi 13/10 
5bc44dc4a5b16a0001ef51ac,00037,"Les fériés, ça nous sied !"
5bc45788a5b16a0001ef51b4,00040,"Fier de franchir hier la ligne d'arrivée de mon 1er semi-marathon (20 km de Paris) après un temps de 1 heure 39 minutes. C'était dur mais rien n'est impossible!
Vive le sport et vive les sportifs ❤️
https://www.youtube.com/watch?v=ndgD7BBLfpI"
5bc45857a5b16a0001ef51b5,00040,
5bc45921a5b16a0001ef51b8,00040,
5bc45921a5b16a0001ef51b9,00040,
5bc45921a5b16a0001ef51ba,00040,
5bc45921a5b16a0001ef51bb,00040,
5bc45921a5b16a0001ef51bc,00040,
5bc45921a5b16a0001ef51bd,00040,
5bc45921a5b16a0001ef51be,00040,
5bc45921a5b16a0001ef51bf,00040,Les 20 Km de Paris étaient mon premier challenge...
5bc4594fa5b16a0001ef51c0,00040,
5bc4659ea5b16a0001ef51c9,00086,
5bc48e3aa5b16a0001ef51e1,00086,
5bc49daba5b16a0001ef51e9,00094,
5bc49daba5b16a0001ef51ea,00094,
5bc49daba5b16a0001ef51eb,00094,
5bc4a0d6a5b16a0001ef51ed,00034,Joyeux Anniversaire chère @Nouha que du bonheur :*
5bc5dedfa5b16a0001ef5202,00086,
5bc612d5a5b16a0001ef520a,00093,https://www.youtube.com/watch?v=wRC281JZgxc
5bc6ebd2a5b16a0001ef520f,00109,
5bc6ed67a5b16a0001ef5211,00109,
5bc6faaea5b16a0001ef5215,00037,L'antre des champions !
5bc760f0a5b16a0001ef5223,00109,Soleil Lyonnais :D
5bc8413204031a0001cf64e5,00096,"Sur ce, Bonne entame de journée à tous ;)"
5bc843f404031a0001cf64e6,00052,"C'est Intéressant :) 

https://www.revuegestion.ca/la-communication-non-violente-un-outil-pour-favoriser-de-bonnes-relations-au-travail#.W8czbuTCyFw.linkedin"
5bc84bc804031a0001cf64eb,00032,"Because they. believe that connectivity ,AI and big data can change the world 
Netanyahu says ""Israel is literally driving the world""
from 08:50
 
https://www.youtube.com/watch?v=EwZAmsmXy6w&feature=youtu.be"
5bc85b5b04031a0001cf64ed,00034,Just for fun :D :p
5bc86e2504031a0001cf64f1,00093,https://www.youtube.com/watch?v=wj4H_uvX400
5bc8843804031a0001cf64f5,00079,New day new look
5bc897ad04031a0001cf64fa,00002,J-2 :)
5bc8d3ed04031a0001cf64fe,00007,Un petit aperçu de l'endroit ou va se dérouler nos prochain Event !!!
5bc98c0004031a0001cf6501,00002,"Happy Happy Akram ! meilleurs voeux pour cette journée spéciale, enjoy your day !"
5bc98f0c04031a0001cf6503,00062,There are no coincidences only the illusion of coincidences!
5bc99e8604031a0001cf650e,00105,"“The only way to do great work is to love what you do.” – Steve Jobs
"
5bc9e4fc04031a0001cf6521,00032,"Dédicace @Hassen Azzouz 
toujours @Ilyes Ghomri sadik el barnamej
#Radio_advyteam
#weekend 

https://www.youtube.com/watch?v=TM-2XmzB59w"
5bca43c104031a0001cf652b,00109,Team building loading...
5bcb091204031a0001cf652e,00009,
5bcb130f04031a0001cf652f,00002,Bienvenue au château de la Bucherie 🤗
5bcb139704031a0001cf6530,nan,
5bcb139704031a0001cf6531,nan,
5bcb139704031a0001cf6532,nan,
5bcb139704031a0001cf6533,00002,Nos consultants ont du talent !
5bcd7ece04031a0001cf653e,00086,"Bonjour les Advyteaminens,
Pour valider vos congés;
* Envoyez un mail à votre supérieur hiérarchique avec Zamen Gritli et Lilia Jedidi en CC 
* Insérez en parallèle les jours du congé sur la rubrique absences d' Accretio
PS: Cette procédure concerne nos collaborateurs en Tunisie et au Maroc, pour nos Advyteamiens en France cette démarche est en cours 😉
Bon début de semaine 🙂"
5bcd8f4104031a0001cf6541,00032,Lundi est là ce qui signifie qu'il est temps de faire l'inventaire. C'est le moment de faire le tri afin de garder le positif et de dire adieu au négatif. Bonne journée !
5bcd9cda04031a0001cf6542,00089,Ou comment égailler ma journée... Merci cher ABH7 ....tu as fait le bonheur  des HRLadies.
5bcdbe5804031a0001cf654a,nan,
5bcdbe5804031a0001cf654b,nan,
5bcdbe5804031a0001cf654c,00049,"
About last Saturday #Advyteam #MSZ7 #NICE"
5bcddf9e04031a0001cf654e,nan,
5bcddf9e04031a0001cf654f,nan,
5bcddf9e04031a0001cf6550,nan,
5bcddf9e04031a0001cf6551,nan,
5bcde05c04031a0001cf6553,00011,
5bcde05c04031a0001cf6554,00011,
5bcde05c04031a0001cf6555,00011,
5bcde05c04031a0001cf6556,00011,
5bcde05c04031a0001cf6557,00011,
5bcde05c04031a0001cf6558,00011,From Tunis To Paris en faisant une petite escale à Nice : HAPPY BIRTHDAY AKRAM :) beaucoup beaucoup de bonheur et de réussite
5bcde4bb04031a0001cf655b,00002,Encore quelques photos de notre Event pour partager avec vous l'ambiance durant cette journée. Merci à tous les advyteamiens pour leur bonne humeur et état d'esprit qui ont fait la réussite de l'event. Mention spéciale pour INES notre CHO merci pour l'organisation ! très bon début de semaine à tous.
5bcde79e04031a0001cf655d,nan,
5bcde79e04031a0001cf655e,nan,
5bcde79e04031a0001cf655f,nan,
5bcde79e04031a0001cf6560,nan,
5bcde79e04031a0001cf6561,nan,
5bcde79e04031a0001cf6562,nan,
5bcde79e04031a0001cf6563,00002,
5bcde96904031a0001cf6565,00037,Avec notre chère Nadia !
5bcf3b8204031a0001cf656e,00024,Décollage imminent ... Stay tuned! 😉
5bd0cbdf04031a0001cf6576,00048,"premier dossier, première soirée 😁 Merci pour l'engagement et bonne chance à nous"
5bd1753304031a0001cf657f,nan,
5bd1753304031a0001cf6580,nan,
5bd1753304031a0001cf6581,00079,
5bd1773e04031a0001cf6583,00086,
5bd177db04031a0001cf6584,00032,"TUNIS, PARIS, NICE : More than a DREAM TEAM --> it is about FAMILY
#WHERE_IS_NAIM
#BROTHERS
"
5bd1912e04031a0001cf659e,nan,
5bd1912e04031a0001cf659f,nan,
5bd1912e04031a0001cf65a0,nan,
5bd1912e04031a0001cf65a1,nan,
5bd1912e04031a0001cf65a2,00095,Merci les filles pour la déco 😙 Mention spéciale pour  @sana pour les pancakes et pour ses talents culinaires  😍😍 !! bonne journée à tous 
5bd192b904031a0001cf65a6,00095,More than a team #advyteam#family#pancakesparty
5bd1932304031a0001cf65a7,00114,Ya3tik sa7a ya Sana <3 un vrai regal #HRLadies 
5bd1b1b704031a0001cf65b9,00032,
5bd1b1b704031a0001cf65ba,00032,
5bd1b1b704031a0001cf65bb,00032,
5bd1b1b704031a0001cf65bc,00032,
5bd1b1b704031a0001cf65bd,00032,
5bd1b1b704031a0001cf65be,00032,
5bd1b1ff04031a0001cf65c0,00032,
